state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_rate,civ_rate,year
Mississippi,212612,2140412,0.09933227808478,65,325,0.2,63.0,0.969230769230769,2.0,0.030769230769231,30.5721219874701,13.4868762319743,2006
Missouri***,526916,4403875,0.119648264312679,180,799,0.225281602002503,177.0,0.983333333333333,3.0,0.016666666666667,34.1610427468515,15.9661219012117,2006
Montana,102845,722684,0.142309778547747,54,189,0.285714285714286,54.0,1.0,0.0,0.0,52.5061986484516,21.779849283443,2006
Nebraska,151844,1316899,0.11530421087722,5,202,0.024752475247525,,0.0,,0.0,3.29285319143331,16.9090729622207,2006
Nevada,236901,1852592,0.127875430747839,107,486,0.220164609053498,,0.0,,0.0,45.1665463632488,23.4574556644804,2006
New Hampshire,130690,1015927,0.128641132679809,33,151,0.218543046357616,31.0,0.93939393939394,2.0,0.060606060606061,25.2505930063509,13.3297636678087,2006
New Jersey,527080,6628089,0.079522166947366,93,585,0.158974358974359,92.0,0.989247311827957,1.0,0.010752688172043,17.6443803597177,8.06423986589759,2006
New Mexico,176274,1436320,0.122726133452156,76,352,0.215909090909091,74.0,0.973684210526316,2.0,0.026315789473684,43.1146964384992,21.9039622362993,2006
New York,1098766,14768694,0.074398318497221,216,1326,0.16289592760181,213.0,0.986111111111111,3.0,0.013888888888889,19.6584168057621,8.12001350702067,2006
North Carolina,752508,6625708,0.113573975792474,200,1106,0.180831826401447,194.0,0.97,6.0,0.03,26.5777905351172,15.4260028604509,2006
North Dakota**,57536,487103,0.118118755170878,18,90,0.2,18.0,1.0,0.0,0.0,31.2847608453838,16.761064048216,2006
Ohio,961616,8696516,0.110574855493855,251,1325,0.189433962264151,246.0,0.9800796812749,5.0,0.0199203187251,26.1018951431757,13.8851181010744,2006
Oklahoma,333358,2668872,0.124905952777053,113,537,0.210428305400372,,0.0,,0.0,33.8974915856227,18.1544619300077,2006
Oregon,350730,2839640,0.1235121353411,143,579,0.246977547495682,136.0,0.951048951048951,7.0,0.048951048951049,40.772103897585,17.5177085551506,2006
Pennsylvania,1073558,9625288,0.11153515614286,309,1396,0.22134670487106,305.0,0.98705501618123,4.0,0.01294498381877,28.7827951540578,12.7108783836721,2006
Rhode Island,82129,827561,0.099242231086288,21,90,0.233333333333333,,0.0,,0.0,25.5695308599886,9.25637750995396,2006
South Carolina,398128,3252620,0.122402248033893,118,524,0.225190839694656,114.0,0.966101694915254,4.0,0.033898305084746,29.6387091588635,14.22319628151,2006
South Dakota,73535,585507,0.125592008293667,26,125,0.208,,0.0,,0.0,35.3573128442238,19.3369949919136,2006
Tennessee,502295,4578718,0.109702104388172,150,874,0.17162471395881,147.0,0.98,3.0,0.02,29.8629291551777,17.7606690964112,2006
Texas,1660455,16924145,0.098111603274493,454,2347,0.193438432040903,447.0,0.984581497797357,7.0,0.015418502202643,27.3419032735003,12.4019814343714,2006
Utah,154774,1753636,0.088258908918384,63,362,0.174033149171271,61.0,0.968253968253968,2.0,0.031746031746032,40.7045110935945,18.7008009446719,2006
Vermont,55512,489177,0.113480396666237,16,81,0.197530864197531,16.0,1.0,0.0,0.0,28.8225969159821,14.9885280112529,2006
Virginia,771782,5732436,0.134634211354475,178,876,0.203196347031963,172.0,0.966292134831461,6.0,0.033707865168539,23.0635075707907,14.0707253519395,2006
Washington,629296,4827071,0.130368084496789,200,809,0.247218788627936,194.0,0.97,6.0,0.03,31.7815463629198,14.5076856191673,2006
West Virginia,178121,1426759,0.124843088426286,56,269,0.20817843866171,56.0,1.0,0.0,0.0,31.4393024966175,17.0585870364349,2006
Wisconsin,447851,4237883,0.105678000076925,138,670,0.205970149253731,,0.0,,0.0,30.8138197748805,14.0368207972914,2006
Wyoming,54263,390268,0.139040351758279,22,116,0.189655172413793,,0.0,,0.0,40.5432799513481,27.9757741700272,2006
Total,23385712,224186908,0.104313459731556,6501,33270,0.195401262398557,4376.0,0.673127211198277,101.0,0.015536071373635,27.7990253193916,13.3310958964607,2006
Alabama,406762,3489439,0.116569454287638,130,592,0.219594594594595,,0.0,,0.0,31.9597209178832,14.9869739839756,2007
Alaska,74614,485178,0.153786857606899,30,149,0.201342281879195,29.0,0.966666666666667,1.0,0.033333333333333,40.2069316750208,28.984518856987,2007
Arizona,555500,4649090,0.119485748823963,224,1016,0.220472440944882,,0.0,,0.0,40.3240324032403,19.3473210556016,2007
Arkansas,251482,2127954,0.11818018622583,84,402,0.208955223880597,82.0,0.976190476190476,2.0,0.023809523809524,33.4019929855815,16.9466957140847,2007
California,2079606,27033547,0.076926864240198,655,3602,0.181843420322043,634.0,0.96793893129771,21.0,0.03206106870229,31.4963507510557,11.8097578254273,2007
Colorado,414228,3643412,0.113692330156458,196,811,0.241676942046856,185.0,0.943877551020408,11.0,0.056122448979592,47.3169365663354,19.0450590613604,2007
Connecticut,245359,2674817,0.091729265964737,39,271,0.143911439114391,,0.0,,0.0,15.8950761944742,9.54945506363971,2007
Delaware,78075,657092,0.118818978164397,15,95,0.157894736842105,15.0,1.0,0.0,0.0,19.2122958693564,13.8165200676319,2007
Florida*,1709427,14155099,0.12076404410877,595,2587,0.229996134518748,,0.0,,0.0,34.8069850306565,16.0055640225775,2007
Georgia,710726,6972297,0.101935703542176,211,997,0.211634904714142,,0.0,,0.0,29.6879528819826,12.5527603216509,2007
Hawaii,124261,960064,0.1294299130058,21,133,0.157894736842105,,0.0,,0.0,16.8999122814077,13.4002869097144,2007
Idaho,131795,1088296,0.121102163382021,48,223,0.2152466367713,48.0,1.0,0.0,0.0,36.4201980348268,18.2958512327745,2007
Illinois,803229,9636981,0.083348613014802,183,1108,0.165162454873646,,0.0,,0.0,22.7830419469417,10.4712018177554,2007
Indiana,491684,4754575,0.103412818180384,101,790,0.127848101265823,98.0,0.97029702970297,3.0,0.02970297029703,20.5416487011983,16.1627402624182,2007
Iowa,250852,2274820,0.110273340308244,63,322,0.195652173913044,,0.0,,0.0,25.1144100904119,12.7966450062452,2007
Kansas,231387,2067370,0.111923361565661,88,382,0.230366492146597,86.0,0.977272727272727,2.0,0.022727272727273,38.0315229464058,16.0132201659819,2007
Kentucky,335093,3220471,0.104050929196382,44,649,0.067796610169492,,0.0,,0.0,13.1306831237895,20.9677900087961,2007
Louisiana,315184,3199922,0.098497400874146,91,522,0.174329501915709,,0.0,,0.0,28.8720239606071,14.9406982540529,2007
Maine,142506,1034884,0.137702389833063,39,191,0.204188481675393,,0.0,,0.0,27.3672687465791,17.0331406646063,2007
Maryland,461184,4232439,0.108964122105481,76,518,0.146718146718147,,0.0,,0.0,16.4793227865668,11.7202363669389,2007
Massachusetts,437588,5011861,0.087310482074423,50,516,0.096899224806202,47.0,0.94,3.0,0.06,11.4262731153505,10.1874112017363,2007
Michigan,749774,7616804,0.098436824683949,230,1131,0.203359858532272,224.0,0.973913043478261,6.0,0.026086956521739,30.6759103409828,13.1206649745232,2007
Minnesota,405354,3935350,0.103003290685708,125,572,0.218531468531469,123.0,0.984,2.0,0.016,30.8372434958086,12.6629038673132,2007
Mississippi,214698,2140780,0.100289614065901,83,396,0.20959595959596,80.0,0.963855421686747,3.0,0.036144578313253,38.6589535067863,16.2506061528014,2007
Missouri***,511821,4434377,0.115421174158174,180,808,0.222772277227723,177.0,0.983333333333333,3.0,0.016666666666667,35.1685452531256,16.0099690100027,2007
Montana,102649,735059,0.139647293618607,53,196,0.270408163265306,52.0,0.981132075471698,1.0,0.018867924528302,51.6322613956298,22.6119131576035,2007
Nebraska,149306,1320148,0.113097925384124,15,181,0.082872928176796,,0.0,,0.0,10.0464817221009,14.1778309968382,2007
Nevada,233596,1892386,0.123439932445072,104,471,0.220806794055202,,0.0,,0.0,44.5213102964092,22.1245606737441,2007
New Hampshire,122646,1016155,0.120696153637978,42,158,0.265822784810127,41.0,0.976190476190476,1.0,0.023809523809524,34.2448999559708,12.9825217205423,2007
